Title,Company,Location,Stipend,Skills
Recruitment Intern,Michael Page International Recruitment,Mumbai,No Stipend,"Recruitment, Cold Calling, Research and Analytics"
Business Research,BrandWagon - The Financial Express,Noida,No Stipend,"Lead Generation, Business Research, Data Analysis"
Recruitment Consultant,Michael Page,Mumbai,No Stipend,"MS-Office, Recruitment, Client Interaction, Market research, Effective Communication"
Human Resources (HR),Mahindra Teqo Private Limited,Thane,No Stipend,"MS-Office, Recruitment, MS-Word, MS-Excel, Data Analysis"
Law/Legal,S Singh,Work from home,No Stipend,"Social Media Marketing, MS-Office, Content Writing, MS-Word, MS-Excel, Content Marketing, English Proficiency (Spoken)"
Recruitment,The Indian Express Private Limited,Mumbai,No Stipend,"Recruitment, MS-Excel, Human Resources, English Proficiency (Spoken), English Proficiency (Written), Effective Communication"
Human Resources (HR),Black Belt Commandos Security Systems,Secunderabad,No Stipend,"MS-Office, Data entry, English Proficiency (Spoken), English Proficiency (Written)"
Business Development (Sales),Prologic,Rajkot,No Stipend,"Digital Marketing, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Graphic Designer - MS-PowerPoint,Greater Than Educational TechnologiesActively hiring,Hyderabad,No Stipend,MS-PowerPoint
Delegate Acquisition,Times InternetActively hiring,Mumbai,No Stipend,"MS-Excel, Effective Communication"
Social Media,Times InternetActively hiring,Gurgaon(Hybrid),No Stipend,"Social Media Marketing, Canva"
Human Resources (HR),Apollo Home Healthcare Limited,Hyderabad,No Stipend,"MS-Office, Recruitment, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Talent Management"
Campus Ambassador,IIT Delhi- RendezvousActively hiring,Work from home,No Stipend,"Social Media Marketing, Digital Marketing"
Photography,The House Of Rare,Bangalore,No Stipend,Photography
Content Writer - Chemistry,Greater Than Educational TechnologiesActively hiring,Hyderabad,No Stipend,"Chemistry, Effective Communication"
Human Resources (HR),Intertek India Private Limited,Mumbai,No Stipend,"MS-Office, MS-Excel, English Proficiency (Spoken)"
Mechanical Engineering,Valeo India Private Limited,Chennai,No Stipend,"Catia, Product Lifecycle Management(PLM)"
Customer Support Manager,ScalerActively hiring,Bangalore,No Stipend,"Effective Communication, Customer Support"
Production Manager,Times InternetActively hiring,"Mumbai, Noida",No Stipend,"Content Management, Creative Direction"
Residential Project Handover Intern (for Civil B.tech/Diploma),Godrej Properties Limited,Pune,No Stipend,"Problem Solving, English Proficiency (Spoken), Marathi Proficiency(Spoken), Interpersonal skills, Effective Communication, Conflict Management"
Market Research,CureFit Healthcare Private Limited,"Ahmedabad, Kolkata, Surat, Kochi, Nagpur",No Stipend,Effective Communication
Influencer Marketing,Publicis Groupe,Mumbai,No Stipend,"Social Media Marketing, Creative Thinking, Creative Writing, Influencer Marketing"
Executive Assistant,Pramerica Life Insurance,Gurgaon,No Stipend,"Scheduling, Travel Management"
Social Media Marketing,Imarticus Learning Private Limited,Mumbai,No Stipend,"Social Media Marketing, Video Making, Instagram Marketing"
Talent Acquisition,The Sleep CompanyActively hiring,Mumbai,No Stipend,Recruitment
HR Consultant,Tanla Solutions LimitedActively hiring,"Chennai, Hyderabad",No Stipend,"MS-Excel, Advanced Excel"
Human Resources (HR),Kokuyo Camlin Limited,Mumbai,No Stipend,MS-Excel
Content Writing,Times InternetActively hiring,Mumbai,No Stipend,"Creative Writing, Financial literacy"
Market Research,Cultfit Healthcare Private Limited,"Ahmedabad, Kolkata, Surat, Nagpur, Kochi",No Stipend,Effective Communication
Mechanical Engineering,Essel Propack Limited,"Vapi, Mumbai",No Stipend,"Attention to Detail, Report Writing, Interpersonal skills, Document Management, Document Review"
Digital Marketing,Trifox Media Global,Navi Mumbai,No Stipend,"Social Media Marketing, Digital Marketing, Search Engine Optimization (SEO), Creative Writing, English Proficiency (Spoken), Instagram Marketing"
Social Media Marketing,CarWale,Navi Mumbai,No Stipend,"Social Media Marketing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written)"
CRM and Retention Manager,ScalerActively hiring,Work from home,No Stipend,Client Relationship Management (CRM)
Marketing,The Indian Express,Noida,No Stipend,"English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Effective Communication"
Business Strategy,The Indian Express,Noida,No Stipend,"Social Media Marketing, Digital Marketing, Operations, Email Marketing, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
CA Articleship,AkzoNobel,Pune(Hybrid),No Stipend,"Accounting, Problem Solving"
Human Resources (HR),Yoma Technologies Private Limited,Gurgaon,No Stipend,"Recruitment, Coordination, Onboarding"
Full Stack Development,IREED Academy India Private LimitedActively hiring,Gurgaon,No Stipend,"HTML, CSS, JavaScript, MongoDB, Django, AngularJS, Node.js"
Data Entry,Portea,Bangalore,No Stipend,"MS-Office, MS-Excel"
Business Development (Sales),EblogtalkActively hiring,Work from home,No Stipend,"Digital Marketing, Email Marketing, Lead Generation, English Proficiency (Spoken), English Proficiency (Written), Conversion Rate Optimization"
Finance & Accounting,Krsnaa Diagnostics Limited,Pune,No Stipend,"Accounting, MS-Excel, Journal Entries"
Finance & Accounting,ICRISAT,Patancheruvu,No Stipend,"Accounting, Financial Analysis, Financial Reporting"
Digital Marketing,Thota Sudharani,Mumbai,No Stipend,"English Proficiency (Spoken), Marketing"
UI/UX Design,Kotak CherryActively hiring,"Navi Mumbai, Mumbai",No Stipend,"User Interface (UI) Development, Wireframing, UI & UX Design, Figma"
Delegate Acquisition,Times InternetActively hiring,Gurgaon(Hybrid),No Stipend,"MS-Excel, Effective Communication"
Content Writing,Epicor,Bangalore(Hybrid),No Stipend,"Blogging, Video Editing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written)"
Digital Engagement & Sales Efficiency Manager,BenowActively hiring,Mumbai,No Stipend,"MS-PowerPoint, Digital Marketing, MS-Excel, Marketing Campaigns, Effective Communication, Stakeholder Management, Sales Strategy"
Finance,RazorpayActively hiring,Bangalore,No Stipend,"Accounting, MS-Excel, Financial Modeling"
Content Development (English),Epicor,Bangalore(Hybrid),No Stipend,"Creative Writing, Video Making, Technical Writing, English Proficiency (Spoken), English Proficiency (Written)"
Content Writing,IREED Academy India Private LimitedActively hiring,Work from home,No Stipend,"Content Writing, Blogging, Creative Writing, English Proficiency (Spoken), English Proficiency (Written)"
Part-Time HR Intern For CaratLane (A Tata Product),CaratLane Trading Private LimitedActively hiring,Pune,No Stipend,"Recruitment, Client Relationship Management (CRM), Human Resources, Sales Management, Retail Management, Business Development, Sales"
Event Management,Dr. Reddys Laboratories  Limited,Hyderabad(Hybrid),No Stipend,Event Management
Human Resources (HR),Tutopia Private Limited,Kolkata,No Stipend,"Recruitment, MS-Word, Multitasking, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Human Resources (HR),Elementskill,Jammu,No Stipend,"MS-Office, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Inside Sales,ICS Foods,Gurgaon(Hybrid),No Stipend,"Cold Calling, Lead Generation, Effective Communication"
Business Development (Sales),DS Group,Agra,No Stipend,"Presentation skills, Market Analysis, Marketing Campaigns, Onboarding"
International Business Development,BLS International Services Limited,Gurgaon,No Stipend,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)"
Banking,Gravita India Limited,Jaipur,No Stipend,"MS-Office, Presentation skills, Banking"
Sales,Moople Institute Of Animation And Design,Kolkata,No Stipend,"Bengali Proficiency (Spoken), MS-Excel"
Sales and Marketing,Derewala Industries Limited,Delhi,No Stipend,Sales
