id,Title,Locations,Skills
66,Shoe Designer,Mumbai,Adobe Photoshop CorelDRAW Adobe Illustrator
67,Content Writing,Mumbai,Event Management Content Writing Content Marketing
68,Operations,Mumbai,MS-Office MS-PowerPoint Vendor Management Hindi Proficiency (Spoken) Effective Communication Email Management Collaboration
69,Accounting & Taxation,Dehradun Mussoorie Rishikesh,Accounting Tally Taxation English Proficiency (Spoken) English Proficiency (Written) Financial literacy Effective Communication
70,Video Editing/Making,Secunderabad Hyderabad(Hybrid),Video Editing Time Management Video Making Instagram Marketing Capcut
71,Business Development (Sales),Mumbai(Hybrid),Social Media Marketing Digital Marketing Email Marketing MS-Excel English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken)
72,Business Development (Sales),Mumbai,Social Media Marketing Digital Marketing English Proficiency (Written) Microsoft PowerApps Effective Communication
73,Trainee - Marketing (Live Events),Mumbai,English Proficiency (Spoken) English Proficiency (Written) Marketing Marketing Campaigns
74,Graphic Design,Mumbai,Adobe Illustrator Adobe InDesign Graphic Design
75,Brand Execution,Mumbai,Negotiation Branding English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken) Hindi Proficiency (Written) Influencer Marketing
76,Content Writing,Mumbai,Content Writing Digital Marketing Search Engine Optimization (SEO) Creative Writing LinkedIn Marketing English Proficiency (Written) Instagram Marketing
77,Project Management,Thane Navi Mumbai Vashi Belapur Mumbai Turbhe Panvel,MS-Word MS-Excel English Proficiency (Spoken) English Proficiency (Written) Product Lifecycle Management(PLM) Effective Communication Product Strategy
78,Campaign Delivery,Gurgaon,MS-Office English Proficiency (Spoken) English Proficiency (Written) Sales
79,Business Development (Sales),Dehradun,Social Media Marketing Email Marketing English Proficiency (Spoken)
80,Influencer Marketing,Bangalore,Effective Communication Influencer Marketing
81,Operations,Bangalore,Mathematics Interpersonal skills
82,Business Development (Sales),Noida,Digital Marketing English Proficiency (Spoken) English Proficiency (Written) Sales
83,Content Writing,Work from home,Copywriting English Proficiency (Spoken) English Proficiency (Written)
84,Video Editing/Making,Bangalore,Video Editing Adobe Premiere Pro Final Cut Pro Video Making
85,Warehouse Operation,Hyderabad Balanagar,MS-Office MS-PowerPoint MS-Excel Problem Solving Effective Communication
86,Video Editing And Video Live Streming,Chandigarh,Video Editing Videography Video Making
87,Newsroom Anchor (Female) – Dehradun,Dehradun Dehradun Sub-District Uttarakhand,Leadership Time Management Public Speaking News Writing Anchoring Interpersonal skills Effective Communication
88,Human Resources (HR),Hyderabad,MS-Office Recruitment MS-Word MS-Excel English Proficiency (Spoken) English Proficiency (Written) Kannada Proficiency (Spoken)
89,LinkedIn Management,Jaipur,Content Writing Digital Marketing Creative Writing MS-Excel Report Writing LinkedIn Marketing English Proficiency (Spoken)
90,Event Management,Noida,Event Management MS-Excel Effective Communication
91,Digital Marketing,Mumbai,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Facebook Marketing Email Marketing English Proficiency (Spoken) Instagram Marketing
92,Social Media Marketing,Hyderabad(Hybrid),Social Media Marketing Video Editing Video Making Public Speaking Sales Management Canva Interpersonal skills
93,Search Engine Optimization (SEO),Kolkata(Hybrid),Digital Marketing Search Engine Optimization (SEO) English Proficiency (Written)
94,Management Trainees - Female,Mumbai,MS-Office Effective Communication
95,Corporate Sales,Bangalore,MS-Office Problem Solving Interpersonal skills Effective Communication
96,Graphic Design,Mumbai,Adobe Photoshop MS-PowerPoint Adobe Creative Suite Canva
97,Sales and Marketing,Delhi,Multitasking Computer skills Client Relationship Management (CRM) Sales Support Adaptability Effective Communication
98,Executive Assistant To Founders Office,Indore Hyderabad,MS-Word MS-Excel Client Relationship Management (CRM) Effective Communication Community Management Scheduling
99,Marketing & Events,Mumbai,MS-Office English Proficiency (Spoken) Interpersonal skills Effective Communication
100,E-Commerce Operations,Mumbai,Digital Marketing Data Analytics Search Engine Optimization (SEO) Shopify
101,Customer Acquisition,Bangalore,Problem Solving Interpersonal skills Effective Communication
103,Telecalling,Bangalore,Problem Solving Interpersonal skills Community Management
104,Webtoon Production Artist,Bangalore,Adobe Photoshop Clip Studio Paint
105,Human Resources (HR),Noida(Hybrid),MS-Office Presentation skills Public Speaking English Proficiency (Spoken) Interpersonal skills Effective Communication Email Management
106,Data Entry,Hyderabad,MS-Office MS-Excel Data entry English Proficiency (Spoken) English Proficiency (Written)
107,Human Resources (HR),Noida,MS-Office MS-Word MS-Excel English Proficiency (Spoken) English Proficiency (Written)
108,Graphic Design,Bangalore,Adobe Photoshop Adobe Illustrator Adobe After Effects
109,Project Management,Gurgaon,MS-Office Negotiation Project Management Time Management Decision making Problem Solving Risk Management
