id,Title,Locations,Skills
1343,UI/UX Design,Work from home,Adobe Photoshop Adobe Illustrator User Interface (UI) Development Wireframing UI & UX Design Adobe After Effects Adobe XD
1344,AI Marketing,Work from home,Python
1345,Media & Public Relations (PR),Work from home,Social Media Marketing Creative Writing MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1346,Business Development (Sales),Work from home,Social Media Marketing English Proficiency (Spoken) Effective Communication Sales Strategy
1347,Digital Marketing,Work from home,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing Email Marketing
1348,Social Media Marketing,Work from home,Social Media Marketing Search Engine Marketing (SEM) Search Engine Optimization (SEO) Facebook Marketing Email Marketing English Proficiency (Written) Instagram Marketing
1350,Video Editing/Making,Gurgaon(Hybrid),Search Engine Marketing (SEM) Video Editing Search Engine Optimization (SEO) Email Marketing Video Making English Proficiency (Written)
1351,Data Entry,Work from home,MS-Office MS-Excel
1352,Video Script Writing,Work from home,Content Writing Document Management
1353,Social Media Management (French),Work from home,Social Media Marketing Video Editing Google AdWords French Proficiency (written) French Proficiency (spoken) Canva Instagram Marketing
1354,Accounting & Tally,Mumbai(Hybrid),Accounting Tally MS-Excel
1355,Video Editing/Making,Faridabad,Adobe Photoshop Video Editing Adobe Premiere Pro Video Making
1356,Software Testing,Work from home,Software Testing Database Testing Cypress Test Automation Test Case Design
1357,Operations,Chennai Hyderabad Bangalore,MS-Office MS-Word MS-PowerPoint Analytical Thinking MS-Excel Problem Solving Data Extraction
1358,Accountant Cum Back Office,Ahmedabad,Accounting Tally Taxation MS-Excel Company Law Accounting Software Invoice Processing
1359,Patient Care Assistant,Delhi,Patient Care Patient Counseling
1360,Fundraising,Work from home,Market Analysis English Proficiency (Spoken) English Proficiency (Written) Effective Communication
1361,Product Management,Mumbai,Critical thinking Product Management Product Development Product Lifecycle Management(PLM) Effective Communication Product Strategy Stakeholder Management
1362,Front End Development,Thane Navi Mumbai Mumbai(Hybrid),HTML CSS JavaScript Bootstrap Node.js React REST API
1363,Product Explainer Animation Video Maker,Work from home,Video Editing Video Making Animation
1364,Digital Marketing,Pune,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Creative Writing English Proficiency (Spoken) English Proficiency (Written)
1365,Business Development (Sales),Work from home,Client Interaction Client Relationship Management (CRM) Interpersonal skills Market research Effective Communication Customer Acquisition
1367,Operations (Female Candidates),Thane,Interpersonal skills
1368,Robotics Trainee,Lucknow,Python Robotics Machine Learning Teaching Embedded Systems Arduino C Programming
1369,Admin & HR,Mumbai,MS-PowerPoint MS-Excel English Proficiency (Spoken) English Proficiency (Written) Canva
1371,Web Development,Work from home,HTML
1372,Digital Marketing,Delhi(Hybrid),Digital Marketing MS-Excel
1374,Business Development (Sales),Work from home,Social Media Marketing Digital Marketing Email Marketing English Proficiency (Spoken) English Proficiency (Written)
1375,Telecalling,Ghaziabad,MS-Excel English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken)
1376,Content and Social Media Marketing,Bangalore,Content Writing Content Marketing LinkedIn Marketing Instagram Marketing
1377,Search Engine Optimization (SEO),Work from home,Google Analytics Search Engine Marketing (SEM) Digital Marketing Google AdWords Search Engine Optimization (SEO) English Proficiency (Written)
1378,Video Editing/Making,Work from home,Adobe Premiere Pro Adobe After Effects
1379,Web Development,Work from home,Blogging Creative Writing English Proficiency (Spoken) English Proficiency (Written)
1380,Business Development (Sales),Work from home,Business Development
1381,Business Development (Sales),Bangalore(Hybrid),Client Interaction Cold Calling Client Relationship Management (CRM) Client Relationship English Proficiency (Spoken) English Proficiency (Written)
1382,Psychology,Pune,MS-Office English Proficiency (Spoken) Psychology
1383,Graphic Design And Video Making/Editing,Delhi,Adobe Photoshop Adobe Illustrator Adobe Premiere Pro Adobe After Effects Canva
1384,Human Resources (HR),Work from home,MS-Office MS-Word English Proficiency (Spoken) Tamil Proficiency (Spoken)
1385,Graphic Design,Work from home,Adobe Photoshop Adobe Illustrator Video Editing Final Cut Pro UI & UX Design Filmora
1386,Content and Social Media Marketing,Work from home,Social Media Marketing Video Editing Content Marketing Canva
1387,UI/UX Design,Work from home,Creativity Adobe Illustrator Creative Thinking User Interface (UI) Development UI & UX Design Logo Design Design Thinking
1388,Graphic Design,Kottayam Kozhikode Pathanamthitta Thiruvananthapuram Malappuram Alappuzha Changanassery Chengannur Kochi Perinthalmanna Thodupuzha Ottapalam Mavelikara Palakkad Kannur,Adobe Photoshop CorelDRAW Adobe Illustrator
1389,AI Ninja,Gurgaon,English Proficiency (Spoken) English Proficiency (Written) Artificial intelligence Generative AI Development Generative AI Tools ChatGPT MidJourney (GenAI)
1390,Business Development (Sales),Work from home,Business Development Sales
1391,Video Editing/Making,Work from home,Video Editing Adobe Premiere Pro Final Cut Pro Storyboarding Adobe After Effects Audio Editing Storytelling
1392,Social Media Marketing,Pune(Hybrid),Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing Email Marketing
1393,Community Manager,Work from home,Social Media Marketing Time Management Content Management English Proficiency (Spoken) English Proficiency (Written) Canva Marketing
1394,Game Development,Work from home,Problem Solving Game development
1395,Event & Fundraising,Mumbai(Hybrid),Event Management Finance
1396,Administration,Pune,MS-Office MS-Word MS-PowerPoint Software Testing MS-Excel Circuit Design Soldering
1397,MIS & Reporting,Pune,MS-Excel MIS Report Generation
1399,Editorial,Mumbai,Storytelling
1400,Digital Marketing,Bhopal,Digital Marketing English Proficiency (Spoken) English Proficiency (Written)
1401,Web Development,Kanpur(Hybrid),Django PostgreSQL TypeScript MERN
1402,Reels Creator & Video Editor,Kolkata Howrah(Hybrid),Acting Anchoring Effective Communication Visual Storytelling
1403,Graphic Design,Noida,Adobe Photoshop CorelDRAW Adobe Illustrator Video Editing
1404,Operations,Work from home,MS-Office E-commerce MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1405,Creator Relations - South,Bangalore,Social Media Marketing Effective Communication
1406,Graphic Design,Ahmedabad,Adobe Photoshop CorelDRAW Adobe Illustrator Video Editing Adobe Premiere Pro Adobe Creative Suite Adobe InDesign
1407,Email Marketing,Patna,Email Marketing Typing
1408,Software Development Engineering (Web),Delhi Gurgaon Noida,Java PHP MySQL HTML CSS JavaScript Python
1409,Embedded Systems,Faridabad,Embedded Systems Circuit Design PCB Design Internet of Things (IoT) PCB Soldering
1410,Travel Consultant,Faridabad,Digital Marketing Effective Communication Travel Itinerary Making
1411,Business Development (Sales),Work from home,Social Media Marketing Digital Marketing Email Marketing MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1412,Business Development (Sales),Delhi,Sales Management Marketing Campaigns Sales Strategy
1413,iOS App Development,Work from home,Xcode Objective C Swift REST API iOS
1415,Business Development (Sales),Nagpur,English Proficiency (Spoken)
1416,Fashion Graphic Designer,Work from home,Adobe Photoshop CorelDRAW Adobe Illustrator Adobe InDesign Fashion Designing Adobe After Effects Fashion illustration
1417,Content Creator,Work from home,Effective Communication Community Management
1418,Human Resources (HR),Ahmedabad Gandhinagar,Leadership Team Management Decision making Problem Solving Client Relationship Management (CRM) Teamwork Interpersonal skills
1419,Social Media Marketing,Ahmedabad Gandhinagar,Social Media Marketing Content Writing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing
1421,Graphic Designer & Video Editor,Work from home,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro Video Making Artificial intelligence
1422,Graphic Design,Mumbai,Adobe Photoshop Adobe Illustrator UI & UX Design
1423,Telecalling,Kolkata,English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken) Sales
1424,Executive & Marketing Assistant,Work from home,Project Management MS-PowerPoint Digital Marketing Client Interaction MS-Excel Effective Communication Written Communication
1425,Content and Social Media Marketing,Work from home,Social Media Marketing Content Writing Facebook Marketing Content Marketing Digital Advertising LinkedIn Marketing Instagram Marketing
1426,Full Stack Development,Gurgaon,MySQL JavaScript Python React
1427,Marketing,Mumbai,Social Media Marketing MS-Office Digital Marketing English Proficiency (Spoken) English Proficiency (Written) Canva
1428,Corporate Sales,Work from home,English Proficiency (Spoken) English Proficiency (Written)
1429,Data Collection Agent,Bangalore,Interpersonal skills Effective Communication
1430,Database Building/Management,Thane Navi Mumbai Mumbai Panvel Sub-District Panvel(Hybrid),MySQL Data Visualization Firebase Firebase Cloud Messaging Grafana
1431,LinkedIn Marketing (B2B),Work from home,Social Media Marketing LinkedIn Marketing Microsoft 365 Graphic Design LinkedIn Ads
1432,Talent Research,Work from home,Attention to Detail Research and Analytics Microsoft 365
1433,Video Editing/Making,Work from home,Video Editing Video Making
1434,Sales,Nagpur,Lead Generation Sales Effective Communication
1435,Gadget Geek,Bangalore,Interpersonal skills Effective Communication
1436,Telecalling,Bangalore,MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1437,Operations Coordinator,Mumbai,MS-Excel Client Relationship Management (CRM) Effective Communication
1438,Hospital Administration & Support,Kanpur,Time Management Computer skills Effective Communication Patient Care
1439,Graphic Design,Udaipur,Adobe Photoshop CorelDRAW Adobe Illustrator Video Editing Adobe Premiere Pro
1440,Flutter Development,Work from home,Flutter REST API Dart iOS Amazon Web Services (AWS) Android Firebase
1441,Backend Executive,Noida,MS-Excel LinkedIn Marketing
1442,Graphic Design & Digital Comic Art,Work from home,Adobe Photoshop CorelDRAW Adobe Illustrator Clip Studio Paint Procreate
1443,Graphic Design,Work from home,Adobe Photoshop Adobe Illustrator Video Editing Adobe Creative Suite Adobe InDesign Adobe Photoshop Lightroom CC
1444,Digital Marketing,Delhi,Social Media Marketing Digital Marketing Creative Writing English Proficiency (Spoken) English Proficiency (Written) Facebook Ads
1445,Supply Chain & Logistics Operations,Pune,Project Management Inventory Management Logistics Management
1446,Project Management,Noida,Project Management Time Management Business Analysis Resource Management Client Relationship English Proficiency (Written) Effective Communication
1447,College Representative (Marketing),Work from home,Marketing Strategy
1448,Visual Designer,Delhi(Hybrid),Adobe Creative Suite
1449,Field Sales,Delhi Gurgaon,Audio Editing Music Electrical Machines English Proficiency (Spoken) Hindi Proficiency (Spoken) Audio Making Engineering Drawing
1450,Accounting,Work from home,MS-Office Accounting Tally
1451,Business Development,Noida,Digital Marketing English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Effective Communication
1452,Marketing,Work from home,Email Marketing Field Work Sales Management Sales Support Market research Sales Marketing Strategies
1454,Facebook Marketing,Noida,Logical reasoning Facebook Marketing Digital Advertising Canva
1456,Human Resources (HR),Mumbai,MS-Office MS-Word Vendor Management MS-Excel English Proficiency (Spoken) English Proficiency (Written) Training and Development
1457,Human Resources (HR),Indore,MS-Office MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1458,Copywriting,Mumbai,Creative Writing Copywriting
1459,Flutter Development,Work from home,Flutter REST API Dart Firebase Cloud Firestore
1460,Business Development (Sales),Pune,Cold Calling Email Marketing English Proficiency (Spoken)
1461,Admin & HR,Mumbai,MS-PowerPoint Presentation skills MS-Excel Canva Effective Communication
1462,Product Management,Work from home,Product Management Product Lifecycle Management(PLM) Program Management
1463,Business Development (Sales),Jaipur,Client Interaction Lead Generation Business Development Market research Customer Acquisition
1464,Video Editing/Making,Work from home,Adobe Photoshop Video Editing Adobe Premiere Pro Final Cut Pro Video Marketing Capcut
1465,Graphic Design,Hyderabad,Adobe Photoshop Video Editing Adobe Premiere Pro Image Editing
1466,Digital Marketing,Thane Mumbai,Social Media Marketing Digital Marketing Email Marketing
1467,Marketing,Thane Mumbai,Social Media Marketing Email Marketing
1468,Marketing,Thane Mumbai,Social Media Marketing Digital Marketing Email Marketing Marketing Effective Communication
1469,Digital Marketing,Ahmedabad,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing English Proficiency (Spoken)
1470,Digital Marketing,Work from home,Social Media Marketing Search Engine Optimization (SEO) Creative Writing
1471,Business Development (Sales),Delhi,Social Media Marketing Stock Trading Sales
1472,Equity Dealer,Delhi,Finance Algorithms Banking Stock Trading Investing Financial literacy Sales
1473,Equity Analyst,Delhi,Equity Research Stock Trading Financial literacy Sales
1474,Content and Social Media Marketing,Noida Delhi,Script Writing Marketing Marketing Campaigns
1475,Executive Assistant To Lady Director,Ahmedabad,MS-Excel English Proficiency (Written) Effective Communication Data Analysis Document Management VLOOKUP ChatGPT
1476,Graphic Design,Work from home,Adobe Photoshop CorelDRAW Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro Adobe InDesign
1477,Sales,Hyderabad,English Proficiency (Spoken) English Proficiency (Written) Effective Communication
1478,UI/UX Design,Gurgaon,User Interface (UI) Development UI & UX Design Figma
1479,HR Consultant,Palghar,Recruitment Time Management Effective Communication Interview Coordination
1480,Content and Social Media Marketing,Delhi,Social Media Marketing Content Writing English Proficiency (Spoken) English Proficiency (Written)
1481,Law/Legal,Kolkata,MS-Word
1482,Finance & Accounting,Thane,Accounting Bank Reconciliation
1483,Interior Design,Mumbai,AutoCAD Google SketchUp Autodesk 3ds Max
1485,Video Editing/Making,Work from home,Video Editing Final Cut Pro Video Making Capcut Content Editing
1486,Sales and Marketing,Noida,Sales Management Sales Support Sales Sales Strategy
1487,Market Research,Greater Noida Noida,MS-Office MS-Word MS-PowerPoint MS-Excel English Proficiency (Spoken)
1488,Marketing,Work from home,Blogging Search Engine Optimization (SEO) Research and Analytics Sales
1489,Business Development (Sales),Kanpur,Social Media Marketing Digital Marketing Email Marketing
1490,HR Consultant,Mumbai,Human Resources
1491,Creative Product Owner,Pune(Hybrid),Creative Thinking Design Thinking Effective Communication
1492,Full Stack Development,Gurgaon,MySQL HTML CSS JavaScript Python MongoDB Node.js
1493,Automation Testing,Work from home,Python Selenium Appium
1494,Business Development (Sales),Work from home,MS-Excel English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Sales Effective Communication Onboarding
1495,Cyber Security Mentor,Work from home,Python Computer Networking Linux Ethical Hacking VAPT Web Application Security
1497,Video Editing/Making,Ahmedabad,Video Editing Adobe Premiere Pro Adobe After Effects Canva
1498,Human Resources (HR),Pune(Hybrid),Recruitment English Proficiency (Spoken) English Proficiency (Written) Interpersonal skills Effective Communication
1499,Creative Design,Delhi(Hybrid),Adobe Photoshop Adobe Creative Suite Adobe InDesign
1500,Frontend - UX/UI Designer,Work from home,HTML CSS JavaScript jQuery WordPress Bootstrap Tailwind CSS
1501,E-Commerce Listing,Jaipur,Time Management English Proficiency (Spoken) Sales Strategy
1502,Graphic Design,Work from home,Creativity Content Writing Adobe Photoshop Adobe Illustrator Attention to Detail Adobe InDesign Canva
1503,PHP Development,Jaipur,PHP MySQL HTML JavaScript jQuery AJAX CodeIgniter
1504,Content and Social Media Marketing,Delhi Mumbai(Hybrid),Canva Google Sheets
1505,Travel Consultant,Delhi,Effective Communication Travel Itinerary Making Holiday Package Design
1507,Marketing,Bangalore,MS-Office Digital Marketing MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1508,User Research,Work from home,Business Analysis Psychology
1509,International Business Development,Chennai,Digital Marketing Email Marketing English Proficiency (Spoken) English Proficiency (Written)
1510,Social Media Marketing,Pune(Hybrid),Social Media Marketing Digital Marketing
1511,Campus Ambassador,Ahmedabad Bhubaneswar Indore Kolkata Patna Pune Ranchi Surat Imphal Itanagar Bhopal Mumbai Panaji Gwalior West Nashik,Leadership Team Management Lead Generation Interpersonal skills Effective Communication
1512,Field Sales,Hyderabad,English Proficiency (Spoken) Hindi Proficiency (Spoken) Telugu Proficiency (Spoken)
1513,Accounting & Taxation,Thane,Accounting
1514,Graphic Design,Delhi(Hybrid),Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro UI & UX Design Adobe After Effects Motion Graphics
1515,Content and Social Media Marketing,Mumbai Virar(Hybrid),Video Editing Search Engine Optimization (SEO) Canva Instagram Marketing Content Editing
1516,Fashion Merchandising,Mumbai,Client Interaction Client Relationship Management (CRM) Merchandising Sales Management Effective Communication Order Management
1517,Accounting & Taxation,Indore,Tally MS-Excel Computer skills Business Analysis Valuation
1518,Marketing & Event Promotions,Pune,Sales Marketing Effective Communication
1519,Marketing,Bangalore,Social Media Marketing Email Marketing MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1520,Finance,Work from home,Accounting MS-Excel English Proficiency (Spoken) Stock Trading
1521,ReactJS Development,Faridabad Delhi Gurgaon Noida,HTML JavaScript Node.js React REST API Redux
1522,Content and Social Media Marketing,Faridabad,Facebook Marketing LinkedIn Marketing Instagram Marketing YouTube Ads
1523,Human Resources (HR),Mumbai,Recruitment Digital Marketing Computer skills English Proficiency (Spoken)
1524,Sales,Work from home,Time Management English Proficiency (Spoken) Sales Effective Communication
1525,Import Export Executive,Bangalore,MS-Excel Marketing Strategy Canva Effective Communication
1526,Content Writing,Work from home,Content Writing Creative Writing English Proficiency (Written)
1527,Community Manager,Mumbai(Hybrid),Social Media Marketing Content Writing Video Editing Search Engine Optimization (SEO) Content Management Content Marketing Effective Communication
1528,CEO Office,Faridabad Delhi Gurgaon Noida,Client Relationship Management (CRM) Marketing
1529,Game Development,Work from home,C# Unity Engine
1530,Digital Marketing,Delhi,Social Media Marketing Digital Marketing Creative Writing Email Marketing English Proficiency (Spoken) Instagram Marketing
1531,Sales,Work from home,Client Interaction Client Relationship Sales Sales Strategy
1532,Lead Generation,Work from home,Digital Marketing Email Marketing
1533,Digital Marketing,Chennai,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Creative Writing Email Marketing English Proficiency (Spoken)
1535,Search Engine Optimization (SEO),Work from home,HTML CSS Social Media Marketing Google Analytics Search Engine Marketing (SEM) WordPress Search Engine Optimization (SEO)
1536,Procurement,Chennai,Client Interaction Procurement
1538,Content Writing,Kolkata(Hybrid),Social Media Marketing Blogging Creative Writing Copywriting English Proficiency (Spoken) English Proficiency (Written)
1539,Digital Marketing,Mumbai,Search Engine Optimization (SEO)
1540,Human Resources (HR),Faridabad Delhi Ghaziabad Noida,Recruitment MS-Excel Problem Solving English Proficiency (Spoken) Effective Communication
1541,Video Editing/Making,Mumbai,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro Video Making Motion Graphics
1542,Digital Marketing,Work from home,Social Media Marketing Adobe Photoshop Facebook Marketing English Proficiency (Written) Canva Instagram Marketing
1543,Community Influencing,Work from home,Effective Communication
1544,Social Sector (Operations - Summer Internship),Work from home,Effective Communication
1545,Digital Marketing,Thane Navi Mumbai Mumbai Vashi Panvel,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO)
1546,Social Sector Operations,Work from home,Effective Communication
1547,Marketing,Work from home,Telugu Proficiency (Spoken) Tamil Proficiency (Spoken) Kannada Proficiency (Spoken) Malayalam Proficiency (Spoken)
1548,Backend Development,Hyderabad(Hybrid),MySQL Python MongoDB Django Node.js Express.js REST API
1549,Video Creation- QnA Solutions,Work from home,Physics Chemistry Mathematics Biology English Proficiency (Written) Hindi Proficiency (Spoken)
1550,Learning and Development,Work from home,MS-Office CMS (Content Management System) HR Operations Google Workspace
1551,Content and Social Media Marketing,Work from home,Content Writing Poster Design Research and Analytics
1552,AI Innovation Associate,Hyderabad,Artificial intelligence
1553,Search Engine Optimization (SEO),Work from home,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO)
1554,Sales and Marketing,Pune Kasarwadi,Presentation skills Process Management Sales Management Sales Support Interpersonal skills Training and Development Conflict Management
1555,Sales and Marketing,Noida,Effective Communication
1556,Social Media (LinkedIn) Marketing,Work from home,LinkedIn Marketing English Proficiency (Written)
1557,Content and Social Media Marketing,Work from home,Social Media Marketing Content Writing Video Editing Digital Marketing
1558,Equity Analyst,Work from home,Market Analysis Teamwork Stock Trading Market research Marketing Effective Communication Management
1560,CRM,Mumbai,Client Interaction Client Relationship Management (CRM)
1561,Content and Social Media Marketing,Mumbai(Hybrid),Social Media Marketing Video Editing Content Marketing Canva Digital Marketing Tools
1562,Sales and Marketing,Gurgaon,Client Interaction Effective Communication
1563,E-Commerce Listing,Delhi,E-commerce
1564,Mechanical Engineering,Chennai,AutoCAD ANSYS Assembly Autodesk Fusion 360 Sketching
1565,Media & Public Relations (PR),Gurgaon(Hybrid),Creative Writing English Proficiency (Spoken) English Proficiency (Written)
1566,Graphic Design,Panchkula(Hybrid),Adobe Photoshop CorelDRAW Adobe Illustrator Video Editing UI & UX Design
1567,Sales and Marketing,Ahmedabad Morbi,Client Interaction Analytical Thinking Business Analysis B2B Sales Client Relationship Business Development Sales
1568,Recruitment Consultant,Bangalore Indiranagar(Hybrid),MS-Office Recruitment Human Resources English Proficiency (Spoken) English Proficiency (Written)
1569,Marketing,Bangalore,Affiliate Marketing English Proficiency (Spoken) English Proficiency (Written) Business Development
1570,Content and Social Media Marketing,Delhi,Creative Thinking English Proficiency (Spoken) Canva Google Cloud Platforms (GCP) Interpersonal skills Effective Communication
1571,Social Media Marketing,Bangalore,Social Media Marketing Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing English Proficiency (Spoken)
1572,Recruitment Consultant,Ranchi,Recruitment Interviewing Resume screening
1573,Interior Design,Work from home,AutoCAD Adobe Photoshop Google SketchUp Blender 3D Lumion Enscape
1574,House & Staff Management,Delhi,MS-Word Typing
1575,UI/UX Design,Work from home,Adobe Creative Suite UI & UX Design Adobe After Effects Adobe XD Figma
1576,Graphic Design,Kasavanahalli Bangalore(Hybrid),Adobe Photoshop Adobe Illustrator Adobe Premiere Pro Creative Thinking Autodesk Maya Typography Adobe After Effects
1577,Community Management,Work from home,Event Management Client Relationship Effective Communication Community Management
1579,Psychology,Ghaziabad Delhi,Interpersonal skills Psychology
1580,Video Editing/Making,Gurgaon,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Adobe Creative Suite Adobe InDesign Adobe Animate
1581,Lead Generation,Work from home,Cold Calling Email Marketing Lead Generation
1582,Law/Legal,Work from home,English Proficiency (Spoken) English Proficiency (Written)
1583,Social Media Marketing,Delhi(Hybrid),Social Media Marketing Adobe Premiere Pro Digital Marketing Creative Writing English Proficiency (Spoken) English Proficiency (Written) Canva
1584,Founder’s Office,Mumbai,Management
1585,Graphic Design,Mumbai(Hybrid),Video Editing UI & UX Design
1586,Content Writing,Work from home,Blogging Search Engine Optimization (SEO) English Proficiency (Spoken) English Proficiency (Written) Cybersecurity
1587,Business Development (Sales),Work from home,Social Media Marketing Digital Marketing Email Marketing MS-Excel Sales Management LinkedIn Marketing English Proficiency (Spoken)
1588,Performance Marketing - FB & Google Ads,Thane Mumbai Virar Vasai Mira Bhayandar(Hybrid),Google Analytics Google AdWords Digital Advertising Canva Facebook Ads
1589,Garment Technologist,Work from home,Pattern making Garment Construction
1590,Operations,Mumbai,MS-Office MS-Word MS-PowerPoint MS-Excel English Proficiency (Spoken) English Proficiency (Written)
1591,Marketing,Delhi,English Proficiency (Spoken)
1592,E-Commerce Business Management,Work from home,E-commerce Entrepreneurship Business Management Business Development Sales Marketing
1593,Customer Handling And Order Verification,Pune,Interpersonal skills Effective Communication
1594,Game Development,Delhi Gurgaon Noida(Hybrid),C# Autodesk Maya Blender 3D Unity Engine
1595,Video Editing/Making,Work from home,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Final Cut Pro
1596,Teaching,Work from home,MS-Office Digital Marketing Teaching Tally Cybersecurity Unity Engine Training and Development
1597,Data And Content Manager,Work from home,Digital Marketing Creative Writing Email Marketing Instagram Marketing
1598,Business Analytics,Work from home,MS-Office Python Statistical Modeling Research and Analytics Prompt Engineering ChatGPT
1600,AI & Technology,Bangalore,Machine Learning Mobile Application Development Web development Artificial intelligence
1602,Technical Writer,Work from home,English Proficiency (Written) Effective Communication APIs
1603,Marketing,Work from home,Social Media Marketing MS-Office Team Management Email Marketing MS-Excel Lead Generation English Proficiency (Spoken)
1604,Content and Social Media Marketing,Work from home,Social Media Marketing Leadership Branding Market Analysis Lead Generation Marketing Strategies Marketing Campaigns
1605,Content Writing,Work from home,Creative Writing English Proficiency (Written)
1606,Video Editing/Making,Work from home,Video Editing Adobe Premiere Pro Final Cut Pro DaVinci Resolve Capcut
1607,Academic Counselor,Work from home,English Proficiency (Spoken) English Proficiency (Written) Effective Communication
1608,Furniture Designer,Bangalore,AutoCAD MS-Office Time Management Google SketchUp Multitasking Effective Communication
1609,Social Media Marketing,Pune,Social Media Marketing Digital Marketing Facebook Marketing Creative Writing Poster Design Canva Instagram Marketing
1610,Business Development (Sales),Work from home,English Proficiency (Spoken) Sales
1611,Graphic Design,Work from home,Adobe Photoshop CorelDRAW Adobe Illustrator Adobe InDesign
1612,Digital Marketing,Noida,Digital Marketing Facebook Marketing Facebook Ads Instagram Ads
1613,Marketing Associate (Field),Secunderabad Hyderabad Ranga Reddy Medchal District Medchal Malkajgiri(Hybrid),Leadership Negotiation Time Management Field Work Sales Management English Proficiency (Spoken) Telugu Proficiency (Spoken)
1614,UI/UX Design,Work from home,UI & UX Design Wix
1615,Business Development (Sales),Work from home,Cold Calling Computer skills Lead Generation English Proficiency (Written) Sales Marketing Effective Communication
1616,Social Media Marketing,Work from home,Social Media Marketing Digital Marketing
1617,Teaching,Work from home,English Proficiency (Spoken)
1620,7 Days Virtual Charity Drive,Work from home,Effective Communication
1621,Business Development (Sales),Hyderabad,Digital Marketing Cold Calling Lead Generation
1622,Graphic Design,Howrah,Adobe Photoshop CorelDRAW Adobe Illustrator Video Editing Adobe Premiere Pro Adobe Creative Suite Adobe InDesign
1623,Graphic Designer,Mumbai,Adobe Photoshop Adobe Illustrator Video Editing Adobe After Effects Graphic Design
1624,Canva Designing,Work from home,Adobe Photoshop Time Management Design Thinking Canva Effective Communication
1625,Customer Service/Customer Support,Work from home,English Proficiency (Spoken) English Proficiency (Written)
1626,Graphic Design,Bangalore,Adobe Photoshop Adobe Illustrator Video Editing Adobe Premiere Pro Adobe Creative Suite Adobe After Effects
1627,Marketing,Work from home,Social Media Marketing Content Writing Google Analytics Search Engine Optimization (SEO) MS-Excel English Proficiency (Written) Canva
1628,Human Resources (HR),Noida,English Proficiency (Spoken)
1629,Business Development (Sales),Work from home,Negotiation Digital Marketing Sales Support Effective Communication
1630,Business Development (Sales),Work from home,Digital Marketing MS-Excel B2B Sales English Proficiency (Spoken)
1631,Computer Science (Research) Expert,Work from home,Data Structures Cryptography Operating Systems Artificial intelligence Research and Analytics
1632,Customer Service/Customer Support,Work from home,MS-Excel English Proficiency (Spoken) English Proficiency (Written) Hindi Proficiency (Spoken) Hindi Proficiency (Written) ChatGPT
1633,Business Development (Sales),Work from home,MS-Excel Business Analysis LinkedIn Marketing English Proficiency (Spoken) Sales Effective Communication
1634,Sales Consultant,Work from home,Social Media Marketing Market Analysis MS-Excel Business Analysis Advanced Excel Business Research English Proficiency (Spoken)
1635,Event Management,Work from home,Event Management English Proficiency (Spoken)
1636,Business Development (Sales),Bangalore,English Proficiency (Spoken) English Proficiency (Written)
1637,Law/Legal,Work from home,MS-Word Attention to Detail Adaptability
1638,Campus Ambassador,Work from home,Event Management Marketing Effective Communication Community Management
1639,Public Relations,Work from home,Social Media Marketing Facebook Marketing Creative Writing MS-Excel Product Management Content Marketing English Proficiency (Spoken)
1641,Digital Marketing,Work from home,Search Engine Marketing (SEM) Digital Marketing Search Engine Optimization (SEO) Facebook Marketing Creative Writing Email Marketing English Proficiency (Spoken)
1642,Business Development,Work from home,Social Media Marketing Digital Marketing Time Management Market Analysis Email Marketing MS-Excel Business Analysis
